"custody_code","custody_group","custody_type","custody_detail","custody_sentence_detail"
"1","Remand","Untried","Untried","Untried"
"2","Remand","Convicted unsentenced","Convicted unsentenced","Convicted unsentenced"
"3","Sentenced","Fine defaulter","Fine defaulter","Fine defaulter"
"4","Sentenced","Determinate sentences","Less than or equal to 6 months","Less than or equal to 6 months"
"5","Sentenced","Determinate sentences","Less than or equal to 6 months","Less than or equal to 6 months"
"6","Sentenced","Determinate sentences","Greater than 6 months to less than 12 months","Greater than 6 months to less than 12 months"
"7.1","Sentenced","Determinate sentences","12 months to less than 4 years","12 months to less than 2 years"
"7.2","Sentenced","Determinate sentences","12 months to less than 4 years","2 years to less than 4 years"
"8.1","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years to less than 5 years"
"8.2","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","5 years to less than 7 years"
"8.3","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","7 years to less than 10 years"
"8.4","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","10 years to less than 14 years"
"8.5","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","14 years or more (excluding indeterminate sentences)"
"8.6","Sentenced","Determinate sentences","4 years or more (excluding indeterminate sentences)","Extended determinate sentence"
"9","Sentenced","Indeterminate sentences","Indeterminate sentences","Indeterminate sentences"
"10","Sentenced","Indeterminate sentences","Indeterminate sentences","Indeterminate sentences"
"11","Non criminal prisoners","Non criminal prisoners","Non criminal prisoners","Non criminal prisoners"
"12","Sentenced","Recalls","Recalls","Recalls"
"13","Sentenced","Sentence length not recorded","Sentence length not recorded","Sentence length not recorded"
"","Sentenced","Sentence length not recorded","Sentence length not recorded","Sentence length not recorded"
"Fine Defaulter","Sentenced first receptions","Fine defaulter","Fine defaulter","Fine defaulter"
"Less than 6 months","Sentenced first receptions","Determinate sentences","Less than or equal to 6 months","Less than or equal to 6 months"
"6 months","Sentenced first receptions","Determinate sentences","Less than or equal to 6 months","Less than or equal to 6 months"
"More than 6 months to less than 12 months","Sentenced first receptions","Determinate sentences","Greater than 6 months to less than 12 months","Greater than 6 months to less than 12 months"
"12 months to less than 2 years","Sentenced first receptions","Determinate sentences","12 months to less than 4 years","12 months to less than 4 years"
"2 years to less than 4 years","Sentenced first receptions","Determinate sentences","12 months to less than 4 years","12 months to less than 4 years"
"4 years to less than 5 years","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"5 years to less than 7 years","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"7 years to less than 10 years","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"10 years to less than 14 years","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"14 years or more (excluding indeterminate sentences)","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"Extended determinate sentence","Sentenced first receptions","Determinate sentences","4 years or more (excluding indeterminate sentences)","4 years or more (excluding indeterminate sentences)"
"Indeterminate","Sentenced first receptions","Indeterminate sentences","Indeterminate sentences","Indeterminate sentences"
"Unknown","Sentenced first receptions","Sentence length not recorded","Sentence length not recorded","Sentence length not recorded"
"Remand untried","Remand first receptions","Untried","Untried","Untried"
"Remand convicted","Remand first receptions","Convicted unsentenced","Convicted unsentenced","Convicted unsentenced"
"Civil","Civil non-criminal first receptions","Civil non-criminal first receptions","Civil non-criminal first receptions","Civil non-criminal first receptions"
