"offence.offence_code","offence.offence_group"
"01 Violence against the person","Violence against the person"
"03 Robbery","Robbery"
"07 Possession of weapons","Possession of weapons"
"04 Theft Offences","Theft Offences"
"02 Sexual offences","Sexual offences"
"09 Miscellaneous crimes against society","Miscellaneous crimes against society"
"13 Offence not recorded","Offence not recorded"
"06 Drug offences","Drug offences"
"11 Summary Non-Motoring","Summary Non-Motoring"
"08 Public order offences","Public order offences"
"05 Criminal damage and arson","Criminal damage and arson"
"12 Summary motoring","Summary motoring"
"10 Fraud Offences","Fraud Offences"
