prison_code,prison_name,prison_type
ACI,Altcourse,Male prison
AGI,Askham Grange,Female prison
ASI,Ashfield,Male prison
AYI,Aylesbury,Male prison
BAI,Belmarsh,Male prison
BCI,Buckley Hall,Male prison
BFI,Bedford,Male prison
BLI,Bristol,Male prison
BMI,Birmingham,Male prison
BNI,Bullingdon,Male prison
BRI,Bure,Male prison
BSI,Brinsford,Male prison
BWI,Berwyn,Male prison
BXI,Brixton,Male prison
BZI,Bronzefield,Female prison
CDI,Chelmsford,Male prison
CFI,Cardiff,Male prison
CKI,Cookham Wood,Male prison
CLI,Coldingley,Male prison
CWI,Channings Wood,Male prison
DAI,Dartmoor,Male prison
DGI,Dovegate,Male prison
DHI,Drake Hall,Female prison
DMI,Durham,Male prison
DNI,Doncaster,Male prison
DTI,Deerbolt,Male prison
DWI,Downview,Female prison
EEI,Erlestoke,Male prison
EHI,Standford Hill (Sheppey cluster),Male prison
ESI,East Sutton Park,Female prison
EWI,Eastwood Park,Female prison
EXI,Exeter,Male prison
EYI,Elmley (Sheppey cluster),Male prison
FBI,Forest Bank,Male prison
FDI,Ford,Male prison
FHI,Foston Hall,Female prison
FKI,Frankland,Male prison
FMI,Feltham,Male prison
FNI,Full Sutton,Male prison
FSI,Featherstone,Male prison
FYI,Feltham,Male prison
GHI,Garth,Male prison
GMI,Guys Marsh,Male prison
GNI,Grendon / Spring Hill,Male prison
GPI,Glen Parva,Male prison
GTI,Gartree,Male prison
HBI,Hollesley Bay,Male prison
HCI,Huntercombe,Male prison
HDI,Hatfield,Male prison
HEI,Hewell,Male prison
HHI,Holme House,Male prison
HII,Hindley,Male prison
HLI,Hull,Male prison
HMI,Humber,Male prison
HOI,High Down,Male prison
HPI,Highpoint (North and South),Male prison
HVI,Haverigg,Male prison
ISI,Isis,Male prison
IWI,Isle of Wight,Male prison
KMI,Kirkham,Male prison
KVI,Kirklevington Grange,Male prison
LCI,Leicester,Male prison
LEI,Leeds,Male prison
LFI,Lancaster Farms,Male prison
LGI,Lowdham Grange,Male prison
LHI,Lindholme,Male prison
LII,Lincoln,Male prison
LLI,Long Lartin,Male prison
LNI,Low Newton,Female prison
LPI,Liverpool,Male prison
LTI,Littlehey,Male prison
LWI,Lewes,Male prison
LYI,Leyhill,Male prison
MDI,Moorland,Male prison
MHI,Morton Hall Immigration Removal Centre,HMPPS Operated Immigration Removal Centre
MRI,Manchester,Male prison
MSI,Maidstone,Male prison
MTI,Mount,Male prison
NHI,New Hall,Female prison
NLI,Northumberland,Male prison
NMI,Nottingham,Male prison
NSI,North Sea Camp,Male prison
NWI,Norwich,Male prison
ONI,Onley,Male prison
OWI,Oakwood,Male prison
PBI,Peterborough (Male),Male prison
PDI,Portland,Male prison
PFI,Peterborough (Female),Female prison
PNI,Preston,Male prison
PRI,Parc,Male prison
PVI,Pentonville,Male prison
RCI,Rochester,Male prison
RHI,Rye Hill,Male prison
RNI,Ranby,Male prison
RSI,Risley,Male prison
SDI,Send,Female prison
SFI,Stafford,Male prison
SHI,Stoke Heath,Male prison
SKI,Stocken,Male prison
SLI,Swaleside (Sheppey cluster),Male prison
SNI,Swinfen Hall,Male prison
SPI,Grendon / Spring Hill,Male prison
STI,Styal,Female prison
SUI,Sudbury,Male prison
SWI,Swansea,Male prison
TCI,Thorn Cross,Male prison
TSI,Thameside,Male prison
UKI,Usk,Male prison
UPI,Prescoed,Male prison
VEI,The Verne,Male prison
WCI,Winchester,Male prison
WDI,Wakefield,Male prison
WEI,Wealstun,Male prison
WHI,Woodhill,Male prison
WII,Warren Hill,Male prison
WLI,Wayland,Male prison
WMI,Wymott,Male prison
WNI,Werrington,Male prison
WRI,Whitemoor,Male prison
WSI,Wormwood Scrubs,Male prison
WTI,Whatton,Male prison
WWI,Wandsworth,Male prison
WYI,Wetherby,Male prison
